,Category,    Threat Event ,    Vulnerability ,    Asset ,    Consequence
730,Auth/UAC bypass,  Insufficient Input Validation,    An attacker manipulates input fields to bypass authentication checks,    Login Form,    Unauthorized access to sensitive areas of the application.
731,Auth/UAC bypass,  Bypassing UAC via Scheduled Tasks,    An attacker creates a scheduled task that runs with elevated privileges to bypass UAC prompts,    Windows Systems,    Execution of malicious software with elevated privileges.
732,Auth/UAC bypass,  DLL Hijacking,    An attacker places a malicious DLL in the application directory to bypass UAC checks,    Application Executables,    Unauthorized execution of malicious code with elevated privileges.
733,Auth/UAC bypass,  Insecure Configuration of UAC,    An attacker disables UAC settings on a system,    Windows Systems,    Increased risk of malware execution without user consent.
734,Auth/UAC bypass,  Token Manipulation,    An attacker modifies security tokens to bypass UAC and gain elevated privileges,    User Sessions,    Unauthorized changes to system configurations.
735,Auth/UAC bypass,  Exploitation of Race Conditions,    An attacker exploits a race condition in the authentication process,    Authentication System,    Bypassing authentication and accessing restricted resources.
736,Auth/UAC bypass,  Social Engineering to Obtain Credentials,    An attacker uses social engineering to convince an admin to disable UAC settings,    Admin Account,    Compromised administrative control over the system.
737,Auth/UAC bypass,  Local Privilege Escalation via Exploit,    An attacker exploits a local vulnerability to gain elevated privileges without triggering UAC,    Operating System,    Full control over the system and its resources.
738,Auth/UAC bypass,  Malicious Software with Signed Binaries,    An attacker uses signed binaries to execute code without UAC prompts,    Windows Systems,    Execution of malicious software with perceived legitimacy.
739,Auth/UAC bypass,  Abuse of Application Manifest,    An attacker modifies application manifests to run applications with elevated privileges,    Windows Applications,    Bypassing security controls intended to prevent unauthorized access.
740,Auth/UAC bypass,  Weak Two-Factor Authentication Implementation,    An attacker exploits flaws in the implementation of two-factor authentication,    User Accounts,    Bypassing enhanced security measures to access accounts.
741,Auth/UAC bypass,  Use of Unencrypted Storage for Credentials,    An attacker retrieves stored credentials from insecure storage,    User Credentials,    Bypassing authentication mechanisms and gaining access to sensitive information.
742,Auth/UAC bypass,  Man-in-the-Middle Attack on Authentication,    An attacker intercepts authentication credentials during transmission,    Network Traffic,    Compromised user accounts leading to unauthorized access.
743,Auth/UAC bypass,  User Account Manipulation,    An attacker exploits weaknesses in user account management to reset passwords,    User Accounts,    Unauthorized access to sensitive systems and data.
744,Auth/UAC bypass,  Exploitation of Browser Vulnerabilities,    An attacker uses browser vulnerabilities to bypass authentication mechanisms,    Web Applications,    Compromised user sessions and sensitive data exposure.
745,Auth/UAC bypass,  Compromised Software Installation,    An attacker installs malicious software that bypasses UAC during installation,    Operating System,    Installation of unwanted software that compromises system integrity.
746,Auth/UAC bypass,  Unrestricted File Uploads,    An attacker uploads a malicious file that bypasses authentication checks,    Web Application,    Execution of code that compromises the server environment.
747,Auth/UAC bypass,  Bypassing UAC via Service Manipulation,    An attacker modifies service configurations to execute code with elevated privileges,    Windows Services,    Execution of malicious operations with administrative rights.
748,Auth/UAC bypass,  Unauthorized Access via Default Credentials,    An attacker exploits default credentials to gain access to systems,    Network Devices,    Complete control over network devices leading to network compromises.
